datetime,B
2020/6/26 0:00,0
2020/6/26 0:30,0
2020/6/26 1:00,0
2020/6/26 1:30,0
2020/6/26 2:00,0
2020/6/26 2:30,0
2020/6/26 3:00,0
2020/6/26 3:30,0
2020/6/26 4:00,0
2020/6/26 4:30,0
2020/6/26 5:00,0.023578252
2020/6/26 5:30,0.062856513
2020/6/26 6:00,0.145028897
2020/6/26 6:30,0.201048967
2020/6/26 7:00,0.319883074
2020/6/26 7:30,0.421022394
2020/6/26 8:00,0.406485005
2020/6/26 8:30,0.55800333
2020/6/26 9:00,0.569889816
2020/6/26 9:30,0.532804137
2020/6/26 10:00,0.49661357
2020/6/26 10:30,0.668518343
2020/6/26 11:00,0.730269947
2020/6/26 11:30,0.835312779
2020/6/26 12:00,0.856985472
2020/6/26 12:30,0.852793551
2020/6/26 13:00,0.852267431
2020/6/26 13:30,0.834876276
2020/6/26 14:00,0.866287989
2020/6/26 14:30,0.876837022
2020/6/26 15:00,0.888637331
2020/6/26 15:30,-0.89727274
2020/6/26 16:00,-1.117272738
2020/6/26 16:30,-1.117272738
2020/6/26 17:00,-1.247272736
2020/6/26 17:30,-1.237272737
2020/6/26 18:00,-1.087272738
2020/6/26 18:30,-1.167272737
2020/6/26 19:00,-1.147272737
2020/6/26 19:30,-1.077272738
2020/6/26 20:00,-0.967272739
2020/6/26 20:30,-0.93727274
2020/6/26 21:00,0
2020/6/26 21:30,0
2020/6/26 22:00,0
2020/6/26 22:30,0
2020/6/26 23:00,0
2020/6/26 23:30,0
2020/6/27 0:00,0
2020/6/27 0:30,0
2020/6/27 1:00,0
2020/6/27 1:30,0
2020/6/27 2:00,0
2020/6/27 2:30,0
2020/6/27 3:00,0
2020/6/27 3:30,0
2020/6/27 4:00,0
2020/6/27 4:30,0
2020/6/27 5:00,0.00764094
2020/6/27 5:30,0.084810599
2020/6/27 6:00,0.301381553
2020/6/27 6:30,0.419210267
2020/6/27 7:00,0.64038585
2020/6/27 7:30,0.509766977
2020/6/27 8:00,0.631050338
2020/6/27 8:30,0.613335021
2020/6/27 9:00,0.672544031
2020/6/27 9:30,0.648763197
2020/6/27 10:00,0.661886747
2020/6/27 10:30,0.644918075
2020/6/27 11:00,0.674633235
2020/6/27 11:30,0.675933807
2020/6/27 12:00,0.680267532
2020/6/27 12:30,0.674394541
2020/6/27 13:00,0.693815259
2020/6/27 13:30,0.672218021
2020/6/27 14:00,0.70574655
2020/6/27 14:30,0.766608084
2020/6/27 15:00,0.620689471
2020/6/27 15:30,-0.850000013
2020/6/27 16:00,-1.12000001
2020/6/27 16:30,-1.260000009
2020/6/27 17:00,-1.320000008
2020/6/27 17:30,-1.300000009
2020/6/27 18:00,-1.220000009
2020/6/27 18:30,-1.21000001
2020/6/27 19:00,-1.090000011
2020/6/27 19:30,-0.980000012
2020/6/27 20:00,-0.850000013
2020/6/27 20:30,-0.800000014
2020/6/27 21:00,0
2020/6/27 21:30,0
2020/6/27 22:00,0
2020/6/27 22:30,0
2020/6/27 23:00,0
2020/6/27 23:30,0
2020/6/28 0:00,0
2020/6/28 0:30,0
2020/6/28 1:00,0
2020/6/28 1:30,0
2020/6/28 2:00,0
2020/6/28 2:30,0
2020/6/28 3:00,0
2020/6/28 3:30,0
2020/6/28 4:00,0.007664315
2020/6/28 4:30,0.069980115
2020/6/28 5:00,0.144612428
2020/6/28 5:30,0.189699914
2020/6/28 6:00,0.472282057
2020/6/28 6:30,0.535658811
2020/6/28 7:00,0.573083497
2020/6/28 7:30,0.618594478
2020/6/28 8:00,0.623056343
2020/6/28 8:30,0.617112992
2020/6/28 9:00,0.610742573
2020/6/28 9:30,0.592133633
2020/6/28 10:00,0.594379611
2020/6/28 10:30,0.530521494
2020/6/28 11:00,0.595683291
2020/6/28 11:30,0.608547259
2020/6/28 12:00,0.601544245
2020/6/28 12:30,0.622141453
2020/6/28 13:00,0.619320593
2020/6/28 13:30,0.648696376
2020/6/28 14:00,0.676158781
2020/6/28 14:30,0.680538276
2020/6/28 15:00,0.767847568
2020/6/28 15:30,-1.324545463
2020/6/28 16:00,-1.374545462
2020/6/28 16:30,-1.494545461
2020/6/28 17:00,-1.414545462
2020/6/28 17:30,-1.284545463
2020/6/28 18:00,-1.114545465
2020/6/28 18:30,-1.084545465
2020/6/28 19:00,-0.904545467
2020/6/28 19:30,-0.764545469
2020/6/28 20:00,-0.63454547
2020/6/28 20:30,-0.60454547
2020/6/28 21:00,0
2020/6/28 21:30,0
2020/6/28 22:00,0
2020/6/28 22:30,0
2020/6/28 23:00,0
2020/6/28 23:30,0
2020/6/29 0:00,0
2020/6/29 0:30,0
2020/6/29 1:00,0
2020/6/29 1:30,0
2020/6/29 2:00,0
2020/6/29 2:30,0
2020/6/29 3:00,0
2020/6/29 3:30,0
2020/6/29 4:00,0.007718902
2020/6/29 4:30,0.038615174
2020/6/29 5:00,0.092014192
2020/6/29 5:30,0.183117226
2020/6/29 6:00,0.252420561
2020/6/29 6:30,0.50250951
2020/6/29 7:00,0.636034722
2020/6/29 7:30,0.60362185
2020/6/29 8:00,0.430437702
2020/6/29 8:30,0.657701565
2020/6/29 9:00,0.507293944
2020/6/29 9:30,0.625167178
