datetime,B
2020/7/3 0:00,0
2020/7/3 0:30,0
2020/7/3 1:00,0
2020/7/3 1:30,0
2020/7/3 2:00,0
2020/7/3 2:30,0
2020/7/3 3:00,0
2020/7/3 3:30,0
2020/7/3 4:00,0.008791591
2020/7/3 4:30,0.047657899
2020/7/3 5:00,0.128868275
2020/7/3 5:30,0.169852082
2020/7/3 6:00,0.345585326
2020/7/3 6:30,0.479750292
2020/7/3 7:00,0.585223864
2020/7/3 7:30,0.599933724
2020/7/3 8:00,0.57955685
2020/7/3 8:30,0.60805566
2020/7/3 9:00,0.614982879
2020/7/3 9:30,0.631617457
2020/7/3 10:00,0.608512135
2020/7/3 10:30,0.593878455
2020/7/3 11:00,0.625156723
2020/7/3 11:30,0.572189351
2020/7/3 12:00,0.628316762
2020/7/3 12:30,0.619728133
2020/7/3 13:00,0.680366498
2020/7/3 13:30,0.698958377
2020/7/3 14:00,0.690505954
2020/7/3 14:30,0.740690407
2020/7/3 15:00,0.741821426
2020/7/3 15:30,-1.0759078
2020/7/3 16:00,-1.265057615
2020/7/3 16:30,-1.506550274
2020/7/3 17:00,-1.467513756
2020/7/3 17:30,-1.36147814
2020/7/3 18:00,-1.239446259
2020/7/3 18:30,-1.034945818
2020/7/3 19:00,-0.834823538
2020/7/3 19:30,-0.762383962
2020/7/3 20:00,-0.719315186
2020/7/3 20:30,-0.732577771
2020/7/3 21:00,0
2020/7/3 21:30,0
2020/7/3 22:00,0
2020/7/3 22:30,0
2020/7/3 23:00,0
2020/7/3 23:30,0
2020/7/4 0:00,0
2020/7/4 0:30,0
2020/7/4 1:00,0
2020/7/4 1:30,0
2020/7/4 2:00,0
2020/7/4 2:30,0
2020/7/4 3:00,0
2020/7/4 3:30,0
2020/7/4 4:00,0
2020/7/4 4:30,0.020260588
2020/7/4 5:00,0.059568109
2020/7/4 5:30,0.070119811
2020/7/4 6:00,0.269907006
2020/7/4 6:30,0.382094666
2020/7/4 7:00,0.405821053
2020/7/4 7:30,0.289091042
2020/7/4 8:00,0.429025555
2020/7/4 8:30,0.362193587
2020/7/4 9:00,0.727203873
2020/7/4 9:30,0.732993868
2020/7/4 10:00,0.761351513
2020/7/4 10:30,0.759489175
2020/7/4 11:00,0.763813141
2020/7/4 11:30,0.715943122
2020/7/4 12:00,0.665813815
2020/7/4 12:30,0.620611521
2020/7/4 13:00,0.755055864
2020/7/4 13:30,0.771754447
2020/7/4 14:00,0.780330731
2020/7/4 14:30,0.807712702
2020/7/4 15:00,0.84914246
2020/7/4 15:30,-0.990084615
2020/7/4 16:00,-1.18314262
